epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc,rank
1,299,1.984933839225769,0.2161,1.9858365592956544,0.2153,2314058,0.2194,2
1,599,1.860039645576477,0.246675,1.8628993436813355,0.2495,2314058,0.2502,2
2,299,1.8798526956558228,0.2465,1.8985409681320191,0.2459,2314058,0.2484,2
2,599,1.7966846071243285,0.27905,1.8092649000167846,0.2803,2314058,0.279,2
3,299,1.7971657724380494,0.2603,1.8053778966903686,0.2654,2314058,0.2642,2
3,599,1.7090776739120483,0.357175,1.7295934101104737,0.3513,2314058,0.3512,2
4,299,1.6722621366500854,0.3366,1.6840568675994874,0.3386,2314058,0.3367,2
4,599,1.664895285797119,0.351475,1.6763992816925049,0.352,2314058,0.353,2
5,299,1.6482570636749267,0.347175,1.6676460781097413,0.343,2314058,0.346,2
5,599,1.6446002296447755,0.369375,1.6663846588134765,0.3628,2314058,0.3661,2
6,299,1.5355714780807495,0.41115,1.549972387123108,0.4107,2314058,0.4167,2
6,599,1.611300735092163,0.40345,1.6266760707855226,0.3933,2314058,0.3979,2
7,299,1.5394718322753906,0.427725,1.5592313358306884,0.4198,2314058,0.4207,2
7,599,1.5598323719024658,0.43695,1.585944008255005,0.4268,2314058,0.4343,2
8,299,1.498508150100708,0.433775,1.5324664972305297,0.4245,2314058,0.4302,2
8,599,1.7120365865707396,0.36995,1.7270889205932618,0.3678,2314058,0.3566,2
9,299,1.5107897422790528,0.41335,1.5487491096496582,0.4027,2314058,0.405,2
9,599,1.467953157234192,0.45055,1.498258822250366,0.4464,2314058,0.4423,2
10,299,1.4681008289337159,0.472125,1.5000056148529053,0.4605,2314058,0.4559,2
10,599,1.4415111227035522,0.468675,1.4762424671173096,0.4607,2314058,0.4551,2
11,299,1.45944229221344,0.4454,1.5278417310714723,0.4391,2314058,0.4351,2
11,599,1.449867393875122,0.46785,1.4928170829772949,0.4523,2314058,0.4581,2
12,299,1.4751781728744506,0.4763,1.5059050331115722,0.4639,2314058,0.4604,2
12,599,1.474160027217865,0.478725,1.5130826171875,0.4693,2314058,0.4685,2
13,299,1.6249342540740968,0.400225,1.6673922271728516,0.3954,2314058,0.3832,2
13,599,1.424001438331604,0.465875,1.464057353401184,0.4519,2314058,0.4497,2
14,299,1.462994136428833,0.457525,1.4927592706680297,0.4448,2314058,0.4415,2
14,599,1.4435841468811035,0.45765,1.4897204359054566,0.4457,2314058,0.4469,2
15,299,1.4334499366760254,0.47375,1.4782588348388672,0.4679,2314058,0.4683,2
15,599,1.4121728233337403,0.47115,1.4572378044128418,0.4605,2314058,0.463,2
16,299,1.520176021194458,0.446775,1.5738363945007323,0.4397,2353994,0.4318,4
16,599,1.5638721935272217,0.45265,1.5966318496704102,0.4467,2353994,0.4427,4
17,299,1.287438267993927,0.494225,1.3434703889846802,0.4791,2353994,0.4812,4
17,599,1.2131945242881774,0.560075,1.2668307386398316,0.55,2353994,0.5388,4
18,299,1.1421740983963014,0.5965,1.2127507530212402,0.5789,2353994,0.5784,4
18,599,1.1460829682350158,0.597375,1.2202223684310913,0.5812,2353994,0.573,4
19,299,1.1143726222038268,0.605275,1.1986949848175048,0.5872,2353994,0.5739,4
19,599,1.1392939367294312,0.60315,1.22928812084198,0.5765,2353994,0.5729,4
20,299,0.9953404035568237,0.64705,1.110316619873047,0.6174,2353994,0.6106,4
20,599,0.9993842185020447,0.65385,1.1028000619888305,0.6227,2353994,0.6113,4
21,299,0.9839451235771179,0.65485,1.0983175457954406,0.6256,2353994,0.6151,4
21,599,0.9333953671455383,0.674025,1.0558165294647217,0.6424,2353994,0.6313,4
22,299,0.9326728583335876,0.6765,1.0641211544990539,0.6394,2353994,0.6246,4
22,599,0.9443752054214477,0.676625,1.0818391338348388,0.6306,2353994,0.6221,4
23,299,0.9353532556533813,0.677925,1.0828752227783203,0.6353,2353994,0.6191,4
23,599,0.920385893201828,0.68415,1.081532573223114,0.6412,2353994,0.6316,4
24,299,0.9483201051712036,0.67285,1.090100864505768,0.6324,2353994,0.6201,4
24,599,0.9036064951896667,0.683825,1.0791405042648314,0.6449,2353994,0.63,4
