epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc,rank
1,299,1.9380143655776978,0.209725,1.9449121822357178,0.2003,2314058,0.2129,2
1,599,1.9430959602355957,0.1805,1.9582425825119019,0.174,2314058,0.1806,2
2,299,1.8008718961715697,0.257675,1.818119592666626,0.2505,2314058,0.2559,2
2,599,1.749153395843506,0.302075,1.7837906255722047,0.2921,2314058,0.2984,2
3,299,1.6363605680465698,0.357325,1.6603679836273193,0.346,2314058,0.3562,2
3,599,1.6751173448562622,0.32055,1.7003455749511718,0.3149,2314058,0.3159,2
4,299,1.7658331617355347,0.31945,1.799573587036133,0.313,2314058,0.3151,2
4,599,1.583960399055481,0.377725,1.6188034103393554,0.3657,2314058,0.366,2
5,299,1.5387955850601196,0.429625,1.5830530632019042,0.4147,2314058,0.4147,2
5,599,1.4946611988067626,0.435125,1.5503321237564087,0.4215,2314058,0.4217,2
6,299,1.5002211414337159,0.445925,1.564455584526062,0.4287,2314058,0.4319,2
6,599,1.5128569137573242,0.450175,1.5564333938598633,0.4398,2314058,0.4303,2
7,299,1.4174493938446044,0.490775,1.4958402870178222,0.4716,2314058,0.4728,2
7,599,1.4097826435089111,0.50125,1.470991703605652,0.4816,2314058,0.4834,2
8,299,1.5166916679382325,0.44675,1.548273051071167,0.4367,2314058,0.4305,2
8,599,1.4447279302597047,0.48595,1.5093536966323853,0.4664,2314058,0.4587,2
9,299,1.4004274821281433,0.511275,1.4722364820480347,0.4863,2314058,0.4906,2
9,599,1.3362395959854125,0.539075,1.4084138124465941,0.5076,2314058,0.5051,2
10,299,1.393681457901001,0.52105,1.4794850873947143,0.4974,2314058,0.4982,2
10,599,1.4013996362686156,0.5034,1.4703861249923706,0.4826,2314058,0.4824,2
11,299,1.3586769264221192,0.508925,1.4342435285568238,0.4852,2314058,0.4862,2
11,599,1.3336234273910523,0.526725,1.425076268005371,0.5015,2314058,0.5027,2
12,299,1.3469006146430968,0.5311,1.4411456743240356,0.5086,2314058,0.5094,2
12,599,1.3556471132278443,0.55175,1.436700548171997,0.5279,2314058,0.5285,2
13,299,1.358490855884552,0.5548,1.4458419630050658,0.527,2314058,0.5296,2
13,599,1.2458134530067444,0.56835,1.3396265920639039,0.5388,2314058,0.5354,2
14,299,1.265264882183075,0.56075,1.3509213054656983,0.5284,2314058,0.5344,2
14,599,1.322383228302002,0.535275,1.4089203607559204,0.509,2314058,0.5094,2
15,299,1.3462433485984802,0.5309,1.4196968967437744,0.5064,2314058,0.5034,2
15,599,1.2817484642982482,0.5491,1.3648601388931274,0.5238,2314058,0.5213,2
16,299,1.255437495136261,0.574775,1.357084328842163,0.5453,2314058,0.545,2
16,599,1.2486429243087769,0.57165,1.3630551065444947,0.5419,2314058,0.5402,2
17,299,1.321838503742218,0.551025,1.4102873764038086,0.5287,2314058,0.529,2
17,599,1.2321832001686097,0.57805,1.336964303970337,0.5462,2314058,0.5489,2
18,299,1.321957994556427,0.552925,1.420190701675415,0.5285,2314058,0.5291,2
18,599,1.3259815163612365,0.519825,1.3916403951644898,0.4989,2314058,0.4959,2
19,299,1.2360821464538574,0.58465,1.3308220573425293,0.5536,2314058,0.5583,2
19,599,1.352358459663391,0.546775,1.4275472354888916,0.5236,2314058,0.5194,2
20,299,1.2082773396492004,0.585425,1.306722646522522,0.5557,2314058,0.5539,2
20,599,1.225520436000824,0.565,1.3288219469070435,0.5321,2314058,0.5323,2
21,299,1.2462009532928466,0.57665,1.3639856994628907,0.5473,2314058,0.5516,2
21,599,1.3389620997428895,0.5512,1.4356903789520263,0.5243,2314058,0.5274,2
22,299,1.2483523564338683,0.564275,1.337338705253601,0.5322,2314058,0.5323,2
22,599,1.2525720014572144,0.5611,1.3594289459228515,0.5295,2314058,0.5319,2
23,299,1.319634985256195,0.54575,1.429927579498291,0.5158,2314058,0.5226,2
23,599,1.2391680137634278,0.570125,1.3405804933547973,0.5426,2353994,0.5382,4
24,299,1.146753672027588,0.59885,1.2764212663650514,0.5663,2353994,0.5701,4
24,599,1.0486679391860962,0.63595,1.1810952188491821,0.5992,2353994,0.598,4
25,299,0.9709077684402466,0.65795,1.1076057787895202,0.6166,2353994,0.6187,4
25,599,0.9491133212089539,0.670725,1.0816501753807068,0.6305,2353994,0.6183,4
26,299,0.9153427800178527,0.685375,1.11406095123291,0.6325,2353994,0.6286,4
26,599,0.8894679741859436,0.6888,1.061981227493286,0.6336,2353994,0.6264,4
27,299,0.8521672411441803,0.70735,1.0403141969680787,0.6456,2353994,0.6405,4
27,599,0.8587473169803619,0.70435,1.0728315032005311,0.6424,2353994,0.6375,4
28,299,0.8172530318260193,0.721375,1.0467836324691773,0.6571,2353994,0.6559,4
28,599,0.7829812500476837,0.73155,1.0151097759723664,0.6676,2353994,0.653,4
29,299,0.7679278882026672,0.74245,0.980121471118927,0.6739,2353994,0.6603,4
29,599,0.7372317722797394,0.7449,0.982250954914093,0.673,2353994,0.6629,4
30,299,0.8932812544345856,0.701025,1.1451786776542663,0.6281,2353994,0.6216,4
30,599,0.7394760033607483,0.753525,1.0137238662719728,0.6699,2353994,0.6655,4
